"date","phone_duration","laptop_duration","total_duration"
2025-11-29,1066.938,0,1066.938
2025-11-30,1872.546,0,1872.546
2025-12-01,5055.689,0,5055.689
2025-12-02,10347.569,0,10347.569
2025-12-03,4037.687,0,4037.687
2025-12-04,5593.256,0,5593.256
2025-12-05,3266.35,0,3266.35
2025-12-06,4283.491,0,4283.491
2025-12-07,4905.809,0,4905.809
2025-12-08,6418.992,4178.299,10594.278
2025-12-09,3464.796,22639.742,26099.753
2025-12-10,4819.256,13815.355,18468.217
2025-12-11,8443.717,13470.791,21906.537
2025-12-12,5883.818,0,5883.818
2025-12-13,2740.109,0,2740.109
2025-12-14,4679.133,14744.727,19315.604
2025-12-15,3896.88,18873.876,22725.232
2025-12-16,7079.499,25853.732,32863.239
2025-12-17,6181.987,26725.478,32790.374
2025-12-18,7543.719,15030.046,22573.727
2025-12-19,4078.363,2371.784,6325.237
2025-12-20,2838.417,0,2838.417
2025-12-21,4908.961,6324.022,11230.242
2025-12-22,3842.208,1923.217,5765.249
2025-12-23,3401.882,0,3401.882
2025-12-24,1341.842,0,1341.842
2025-12-25,1883.936,0,1883.936
2025-12-26,7158.056,0,7158.056
2025-12-27,4149.572,0,4149.572
2025-12-28,3447.465,12251.087,15687.685
2025-12-29,4784.54,776.66,5549.064
2025-12-30,5194.091,9468.354,14622.405
2025-12-31,4669.976,0,4669.976
2026-01-01,9272.729,0,9272.729
2026-01-02,3729.931,4988.743,8717.778
2026-01-03,12240.855,10847.973,23088.828
2026-01-04,10499.104,8688.132,19187.236
2026-01-05,1398.235,5563.33,6961.239
2026-01-06,7190.15,6512.999,13702.345
2026-01-07,6320.155,20135.067,26425.068
2026-01-08,9137.071,783.039,9918.929
2026-01-09,4154.2,12775.667,16123.413
2026-01-10,4606.795,15679.675,20152.257
2026-01-11,5530.975,12097.571,17597.496
2026-01-12,4770.796,11590.877,16243.135
2026-01-13,6129.42,12221.54,18301.449
2026-01-14,9823.778,17684.596,27427.348
2026-01-15,3661.518,26272.633,29705.119
2026-01-16,6207.812,15335.875,21537.292
2026-01-17,4975.054,19556.671,24531.039
2026-01-18,5468.714,21306.819,26531.575
2026-01-19,5191.506,21246.955,26308.355
2026-01-20,5221.24,17424.151,22549.612
2026-01-21,6966.948,19615.317,26496.763
2026-01-22,3053.067,10956.023,13986.362
2026-01-23,3524.405,20036.742,23408.861
2026-01-24,4265.98,15918.499,20150.766
2026-01-25,3759.957,19219.223,22932.915
2026-01-26,2637.401,1447.541,4084.942
