"date","phone_duration","laptop_duration","total_duration"
2025-11-29,5189.837,0,5189.837
2025-11-30,3655.505,0,3655.505
2025-12-01,4714.527,0,4714.527
2025-12-02,2734.888,0,2734.888
2025-12-03,5470.533,0,5470.533
2025-12-04,2837.354,0,2837.354
2025-12-05,2813.9,0,2813.9
2025-12-06,5514.151,0,5514.151
2025-12-07,5058.512,13175.202,18233.714
2025-12-08,6357.006,16792.983,23137.177
2025-12-09,4037.865,6370.378,10408.243
2025-12-10,4784.35,1268.383,6052.733
2025-12-11,4594.753,13561.907,18136.595
2025-12-12,5550.539,7846.221,13384.014
2025-12-13,4371.037,0,4371.037
2025-12-14,10826.491,5738.451,16207.522
2025-12-15,9539.859,7416.902,16956.761
2025-12-16,14505.732,176.828,14581.638
2025-12-17,11418.076,10094.975,21475.193
2025-12-18,13952.442,4033.076,17985.518
2025-12-19,10845.924,5017.052,15862.976
2025-12-20,5981.838,638.585,6620.423
2025-12-21,4994.038,0,4994.038
2025-12-22,5363.342,0,5363.342
2025-12-23,5053.035,0,5053.035
2025-12-24,1834.087,0,1834.087
2025-12-25,5548.91,5182.633,10731.543
2025-12-26,1007.974,38.575,1046.549
2025-12-27,3281.221,0,3281.221
2025-12-28,1802.137,0,1802.137
2025-12-29,3632.37,0,3632.37
2025-12-30,3541.545,9209.461,12751.006
2025-12-31,4898.461,0,4898.461
2026-01-01,6122.884,0,6122.884
2026-01-02,4232.954,0,4232.954
2026-01-03,2560.826,9400.479,11940.163
2026-01-04,1088.787,0,1088.787
2026-01-05,3637.708,6832.991,10467.639
2026-01-06,2613.251,3867.815,6470.159
2026-01-07,2187.858,5895.517,8083.375
2026-01-08,5122.265,13415.29,18537.555
2026-01-09,5573.124,177.655,5750.779
2026-01-10,3502.953,8601.852,12104.805
2026-01-11,3827.345,13337.624,17164.969
2026-01-12,6652.419,10375.24,17010.196
2026-01-13,4695.173,0,4695.173
2026-01-14,4756.225,1756.857,6503.614
2026-01-15,5742.165,1711.295,7147.096
2026-01-16,4196.934,439.721,4636.655
2026-01-17,3495.406,3585.067,7080.473
2026-01-18,3441.83,4846.7,8270.711
2026-01-19,3678.734,766.443,4445.177
2026-01-20,2576.322,56.549,2632.871
2026-01-21,4967.383,5483.525,10447.582
2026-01-22,3566.822,10465.571,14032.393
2026-01-23,4073.531,25599.887,29673.418
2026-01-24,5536.608,16202.374,21736.941
2026-01-25,3073.356,10684.955,13726.984
2026-01-26,1055.253,1325.413,2380.666
