"date","phone_duration","laptop_duration","total_duration"
2025-11-29,16959.409,0,16959.409
2025-11-30,34034.349,0,34034.349
2025-12-01,22147.732,0,22147.732
2025-12-02,9856.746,0,9856.746
2025-12-03,19559.327,0,19559.327
2025-12-04,12579.568,0,12579.568
2025-12-05,20394.167,0,20394.167
2025-12-06,22543.168,0,22543.168
2025-12-07,22934.06,0,22934.06
2025-12-08,27185.641,2095.998,29167.382
2025-12-09,9496.446,16463.906,25942.165
2025-12-10,17258.508,21368.367,37490.136
2025-12-11,24759.237,7147.6,31271.486
2025-12-12,18144.243,12070.398,30138.63
2025-12-13,7985.498,4933.292,12623.255
2025-12-14,31013.502,9661.431,40183.481
2025-12-15,21048.703,7323.114,28035.727
2025-12-16,18943.667,19187.069,37598.787
2025-12-17,15610.421,5014.485,20624.839
2025-12-18,14628.044,7119.654,21622.467
2025-12-19,15631.659,10915.929,26362.804
2025-12-20,5783.24,5093.329,10858.214
2025-12-21,5219.98,7125.082,12285.549
2025-12-22,13511.763,16879.34,30389.791
2025-12-23,9653.733,9333.622,17943.354
2025-12-24,9777.926,6430.142,15844.778
2025-12-25,10913.991,4675.964,15579.776
2025-12-26,14147.385,8733.546,22310.846
2025-12-27,11762.163,308.805,12070.954
2025-12-28,18724.197,16299.828,34467.949
2025-12-29,27891.659,26842.632,53996.31
2025-12-30,18732.943,13691.2,30414.9
2025-12-31,8155.86,0,8155.86
2026-01-01,6544.267,15745.118,22114.433
2026-01-02,19371.699,28001.375,46183.815
2026-01-03,14298.088,6953.716,21009.694
2026-01-04,15458.215,14479.296,28615.662
2026-01-05,7200.393,7210.661,14365.289
2026-01-06,15246.913,16438.972,31267.97
2026-01-07,9118.582,10933.773,19737.626
2026-01-08,14748.442,14273.808,28993.587
2026-01-09,11172.377,11359.65,21468.993
2026-01-10,20242.748,29989.539,49825.358
2026-01-11,18712.062,22645.227,40164.745
2026-01-12,17994.143,21558.742,39524.26
2026-01-13,12943.678,19143.797,30943.512
2026-01-14,17301.118,38173.802,54342.525
2026-01-15,12184.931,22504.011,34377.917
2026-01-16,8961.492,18808.962,27051.399
2026-01-17,11683.927,24474.293,35805.194
2026-01-18,21405.869,27122.453,47351.907
2026-01-19,28026.526,20181.531,47043.141
2026-01-20,18675.281,23928.744,41762.253
2026-01-21,13312.413,19086.736,31687.383
2026-01-22,13939.931,16265.708,29918.229
2026-01-23,13665.544,15091.721,27525.113
2026-01-24,11399.653,14574.309,25825.449
2026-01-25,16963.439,35824.787,52377.928
2026-01-26,8095.93,6546.253,14570.526
