"date","sleep_time","alarm_duration"
2025-11-30,28949,3000
2025-12-01,30085,4632
2025-12-02,3660,4
2025-12-03,26309,1831
2025-12-04,14369,1500
2025-12-05,11404,NA
2025-12-06,35761,4620
2025-12-07,33386,4644
2025-12-08,28452,5231
2025-12-09,17237,621
2025-12-10,31722,4549
2025-12-11,28106,2735
2025-12-12,18870,NA
2025-12-13,29068,4
2025-12-14,34980,6444
2025-12-15,30307,6872
2025-12-16,19677,2399
2025-12-17,30492,3593
2025-12-18,22863,2103
2025-12-19,25896,3296
2025-12-20,35728,5239
2025-12-21,30472,5201
2025-12-22,31715,3947
2025-12-23,17877,2398
2025-12-24,30274,6449
2025-12-25,34193,3678
2025-12-26,46517,15260
2025-12-27,29992,NA
2025-12-28,20595,2345
2025-12-29,43452,23
2025-12-30,24952,5400
2025-12-31,26366,NA
2026-01-01,25441,19125
2026-01-02,39279,4908
2026-01-03,32677,6261
2026-01-04,33124,3008
2026-01-05,36127,5455
2026-01-06,31859,9204
2026-01-07,28434,0
2026-01-08,26739,4052
2026-01-09,26196,3354
2026-01-10,38218,7402
2026-01-11,41151,9494
2026-01-12,28650,5572
2026-01-13,26125,5006
2026-01-14,26928,2121
2026-01-15,27492,5767
2026-01-16,16809,3869
2026-01-17,37196,5597
2026-01-18,38525,4573
2026-01-19,18983,611
2026-01-20,5434,NA
2026-01-21,26291,0
2026-01-22,23693,2419
2026-01-23,22451,NA
2026-01-24,31770,6569
2026-01-25,21527,NA
