"date","sleep_time","alarm_duration"
2025-11-30,32983,344
2025-12-01,27840,0
2025-12-02,21938,300
2025-12-03,30230,300
2025-12-04,20897,0
2025-12-05,45882,8763
2025-12-06,34318,1984
2025-12-07,32704,300
2025-12-08,29184,0
2025-12-09,27819,234
2025-12-10,9847,NA
2025-12-11,20718,472
2025-12-12,20828,309
2025-12-13,32331,NA
2025-12-14,29770,NA
2025-12-15,18664,20
2025-12-16,18728,0
2025-12-17,20067,0
2025-12-18,24121,599
2025-12-19,32835,5873
2025-12-20,31397,211
2025-12-21,28260,8
2025-12-22,27229,12
2025-12-23,30045,NA
2025-12-24,27226,NA
2025-12-25,30151,NA
2025-12-26,27340,NA
2025-12-27,34091,NA
2025-12-28,29930,NA
2025-12-29,31867,NA
2025-12-30,20197,NA
2025-12-31,24196,0
2026-01-01,34006,NA
2026-01-02,22864,21
2026-01-03,28642,NA
2026-01-04,38903,NA
2026-01-05,42731,NA
2026-01-06,37349,NA
2026-01-07,27752,0
2026-01-08,20053,NA
2026-01-09,6165,313
2026-01-10,30736,0
2026-01-11,25945,0
2026-01-12,29051,301
2026-01-13,24096,0
2026-01-14,27609,0
2026-01-15,24009,0
2026-01-16,29440,NA
2026-01-17,20466,12
2026-01-18,30733,785
2026-01-19,22852,2627
2026-01-20,22578,37
2026-01-21,24420,373
2026-01-22,18724,1500
2026-01-23,30719,301
2026-01-24,24547,1847
2026-01-25,31778,909
