id,timestamp,duration,data/app,data/classname,data/package
38998,2026-01-26T11:20:53.261Z,0,ActivityWatch,net.activitywatch.android.MainActivity,net.activitywatch.android
38997,2026-01-26T11:20:53.251Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38996,2026-01-26T11:20:50.493Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
38995,2026-01-26T11:20:49.310Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38993,2026-01-26T11:20:23.056Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
38992,2026-01-26T11:12:59.510Z,60.681,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
38990,2026-01-26T11:12:58.065Z,1.441,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38989,2026-01-26T10:15:36.879Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38988,2026-01-26T10:15:31.185Z,0,Chrome,org.chromium.chrome.browser.ChromeTabbedActivity,com.android.chrome
38987,2026-01-26T10:15:30.333Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38985,2026-01-26T10:15:28.596Z,0,Chrome,org.chromium.chrome.browser.ChromeTabbedActivity,com.android.chrome
38984,2026-01-26T10:08:01.427Z,445.378,Chrome,org.chromium.chrome.browser.ChromeTabbedActivity,com.android.chrome
38982,2026-01-26T10:07:56.532Z,4.881,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38981,2026-01-26T10:07:22.128Z,0.691,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38980,2026-01-26T10:07:21.535Z,0,Chrome,org.chromium.chrome.browser.ChromeTabbedActivity,com.android.chrome
38979,2026-01-26T10:07:20.399Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38978,2026-01-26T10:05:10.187Z,0,Chrome,org.chromium.chrome.browser.ChromeTabbedActivity,com.android.chrome
38977,2026-01-26T10:05:10.181Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38976,2026-01-26T10:05:09.018Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
38975,2026-01-26T10:05:08.388Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38974,2026-01-26T10:05:06.858Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
38972,2026-01-26T10:05:05.717Z,1.137,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38970,2026-01-26T10:00:24.973Z,8.072,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38969,2026-01-26T09:59:59.678Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38968,2026-01-26T09:59:59.279Z,0,Facebook,com.facebook.katana.activity.FbMainTabActivity,com.facebook.katana
38967,2026-01-26T09:59:58.285Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38966,2026-01-26T09:59:01.462Z,0,Facebook,com.facebook.katana.activity.FbMainTabActivity,com.facebook.katana
38965,2026-01-26T09:59:01.457Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38964,2026-01-26T09:59:00.511Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
38963,2026-01-26T09:58:59.769Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38962,2026-01-26T09:58:38.454Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
38961,2026-01-26T09:58:38.135Z,0,POCO Launcher,com.miui.home.launcher.Launcher,com.mi.android.globallauncher
38960,2026-01-26T09:58:35.892Z,0,Spotify,com.spotify.music.SpotifyMainActivity,com.spotify.music
