id,timestamp,duration,data/app,data/classname,data/package
22990,2026-01-26T11:31:35.787Z,0,ActivityWatch,net.activitywatch.android.MainActivity,net.activitywatch.android
22988,2026-01-26T11:31:31.889Z,3.854,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22987,2026-01-26T11:15:41.845Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22986,2026-01-26T11:11:16.228Z,0,Instagram,com.instagram.modal.ModalActivity,com.instagram.android
22985,2026-01-26T11:11:14.846Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22984,2026-01-26T11:03:29.680Z,0,Instagram,com.instagram.modal.ModalActivity,com.instagram.android
22983,2026-01-26T11:03:29.671Z,0,Ekran startowy One UI,com.android.quickstep.RecentsActivity,com.sec.android.app.launcher
22982,2026-01-26T11:03:28.685Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22981,2026-01-26T11:03:28.229Z,0,Ekran startowy One UI,com.android.quickstep.RecentsActivity,com.sec.android.app.launcher
22980,2026-01-26T11:03:28.216Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
22979,2026-01-26T11:03:27.180Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22977,2026-01-26T11:03:05.845Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
22976,2026-01-26T11:02:05.946Z,38.889,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
22974,2026-01-26T11:02:04.036Z,1.899,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22973,2026-01-26T11:00:08.463Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22972,2026-01-26T11:00:07.571Z,0,Instagram,com.instagram.modal.ModalActivity,com.instagram.android
22971,2026-01-26T11:00:06.560Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22970,2026-01-26T10:54:07.429Z,0,Instagram,com.instagram.modal.ModalActivity,com.instagram.android
22969,2026-01-26T10:54:06.314Z,1.111,Ekran startowy One UI,com.android.quickstep.RecentsActivity,com.sec.android.app.launcher
22967,2026-01-26T10:54:04.929Z,1.376,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22966,2026-01-26T10:53:29.523Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22965,2026-01-26T10:53:28.754Z,0,Instagram,com.instagram.modal.ModalActivity,com.instagram.android
22964,2026-01-26T10:53:27.676Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22963,2026-01-26T10:29:13.672Z,0,Instagram,com.instagram.modal.ModalActivity,com.instagram.android
22962,2026-01-26T10:29:13.666Z,0,Ekran startowy One UI,com.android.quickstep.RecentsActivity,com.sec.android.app.launcher
22961,2026-01-26T10:29:13.120Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22960,2026-01-26T10:29:12.761Z,0,Ekran startowy One UI,com.android.quickstep.RecentsActivity,com.sec.android.app.launcher
22959,2026-01-26T10:29:12.744Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
22958,2026-01-26T10:29:11.825Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22957,2026-01-26T10:28:42.726Z,0,Messenger,com.facebook.messenger.neue.MainActivity,com.facebook.orca
22956,2026-01-26T10:28:42.707Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22955,2026-01-26T10:28:42.063Z,0,Instagram,com.instagram.modal.ModalActivity,com.instagram.android
22954,2026-01-26T10:28:40.876Z,0,Ekran startowy One UI,com.sec.android.app.launcher.Launcher,com.sec.android.app.launcher
22952,2026-01-26T10:28:25.103Z,0,Instagram,com.instagram.modal.ModalActivity,com.instagram.android
