"date","datePosted","amount","category"
2025-06-23,2025-06-23,-220,"Komunikacja miejska"
2025-06-23,2025-06-23,-220,"Komunikacja miejska"
2025-06-23,2025-06-25,-1950,"Gotowe jedzenie"
2025-06-24,2025-06-26,-2265,"Gotowe jedzenie"
2025-06-25,2025-06-25,100000,"Politechnika"
2025-06-25,2025-06-27,-2445,"Gotowe jedzenie"
2025-06-27,2025-06-29,-1313,"Inne"
2025-07-01,2025-07-03,-200,"Komunikacja miejska"
2025-07-01,2025-07-03,-200,"Komunikacja miejska"
2025-07-01,2025-07-03,-18000,"Inne"
2025-07-02,2025-07-02,85000,"Politechnika"
2025-07-04,2025-07-04,9000,"Zwrot pieniędzy"
2025-07-05,2025-07-05,-19000,"Zwrot pieniędzy"
2025-07-10,2025-07-12,-200,"Inne"
2025-07-11,2025-07-11,-2166,"Pociągi"
2025-07-11,2025-07-11,-2548,"Pociągi"
2025-07-11,2025-07-11,-382,"Pociągi"
2025-07-12,2025-07-12,-11166,"Pociągi"
2025-07-13,2025-07-13,2550,"Zwrot pieniędzy"
2025-07-13,2025-07-15,-5100,"Inne"
2025-07-14,2025-07-16,-200,"Komunikacja miejska"
2025-07-16,2025-07-16,925,"Zwrot pieniędzy"
2025-07-16,2025-07-18,-925,"Inne"
2025-07-17,2025-07-17,100000,"Politechnika"
2025-07-19,2025-07-19,-6464,"Pociągi"
2025-07-19,2025-07-19,-3381,"Pociągi"
2025-07-28,2025-07-30,-3292,"Inne"
2025-07-31,2025-07-31,-500,"Inne"
2025-08-03,2025-08-03,60000,"Zwrot pieniędzy"
2025-08-03,2025-08-03,-40899,"Inne"
2025-08-06,2025-08-06,45000,"Zwrot pieniędzy"
2025-08-08,2025-08-08,-4725,"Pociągi"
2025-08-08,2025-08-08,5000,"Zwrot pieniędzy"
2025-08-13,2025-08-13,-3339,"Pociągi"
2025-08-13,2025-08-13,-3654,"Pociągi"
2025-08-13,2025-08-15,-4490,"Inne"
2025-08-14,2025-08-16,-2054,"Inne"
2025-08-19,2025-08-19,-2548,"Pociągi"
2025-08-19,2025-08-19,-2548,"Pociągi"
2025-08-22,2025-08-24,-200,"Komunikacja miejska"
2025-08-22,2025-08-24,-599,"Inne"
2025-08-25,2025-08-25,-1428,"Pociągi"
2025-08-25,2025-08-25,-2052,"Pociągi"
2025-08-27,2025-08-27,-170,"Komunikacja miejska"
2025-08-27,2025-08-27,-220,"Komunikacja miejska"
2025-08-27,2025-08-27,-750,"Komunikacja miejska"
2025-08-27,2025-08-29,-800,"Inne"
2025-08-27,2025-08-29,-1500,"Inne"
2025-08-27,2025-08-29,-450,"Inne"
2025-08-31,2025-08-31,-500,"Inne"
2025-09-02,2025-09-02,-20079,"Zwrot pieniędzy"
2025-09-04,2025-09-04,-10965,"Elektronika"
2025-09-04,2025-09-04,-14729,"Elektronika"
2025-09-04,2025-09-04,-5600,"Zwrot pieniędzy"
2025-09-07,2025-09-09,-200,"Komunikacja miejska"
2025-09-08,2025-09-10,-200,"Komunikacja miejska"
2025-09-11,2025-09-11,-8479,"Elektronika"
2025-09-12,2025-09-14,-200,"Komunikacja miejska"
2025-09-12,2025-09-14,-32999,"Inne"
2025-09-15,2025-09-17,-200,"Komunikacja miejska"
2025-09-15,2025-09-17,-900,"Inne"
2025-09-15,2025-09-17,-2777,"Inne"
2025-09-15,2025-09-17,-1790,"Inne"
2025-09-16,2025-09-18,-2771,"Inne"
2025-09-17,2025-09-19,-4364,"Inne"
2025-09-20,2025-09-22,-3740,"Inne"
2025-09-21,2025-09-21,-22549,"Gotowe jedzenie"
2025-09-21,2025-09-21,-14734,"Zwrot pieniędzy"
2025-09-21,2025-09-21,-20942,"Zwrot pieniędzy"
2025-09-22,2025-09-24,-9000,"Inne"
2025-09-26,2025-09-28,-200,"Komunikacja miejska"
2025-09-26,2025-09-28,-200,"Komunikacja miejska"
2025-09-28,2025-09-28,-2000,"Zwrot pieniędzy"
2025-09-29,2025-10-01,-2280,"Gotowe jedzenie"
2025-09-30,2025-10-02,-2700,"Jedzenie i środki czystości"
2025-09-30,2025-10-02,-2885,"Gotowe jedzenie"
2025-09-30,2025-10-02,-9585,"Jedzenie i środki czystości"
2025-10-01,2025-10-01,-174,"Inne"
2025-10-01,2025-10-03,-1720,"Gotowe jedzenie"
2025-10-02,2025-10-04,-2735,"Gotowe jedzenie"
2025-10-03,2025-10-05,-7780,"Jedzenie i środki czystości"
2025-10-03,2025-10-05,-2790,"Inne"
2025-10-03,2025-10-05,-4297,"Jedzenie i środki czystości"
2025-10-04,2025-10-04,-27748,"Inne"
2025-10-04,2025-10-06,-12799,"Odzież i obuwie"
2025-10-04,2025-10-06,-1251,"Jedzenie i środki czystości"
2025-10-04,2025-10-06,-2615,"Jedzenie i środki czystości"
2025-10-05,2025-10-05,-577,"Pranie"
2025-10-05,2025-10-05,-461,"Pranie"
2025-10-06,2025-10-06,28000,"Zwrot pieniędzy"
2025-10-06,2025-10-08,-2200,"Gotowe jedzenie"
2025-10-07,2025-10-09,-2700,"Gotowe jedzenie"
2025-10-08,2025-10-10,-1800,"Gotowe jedzenie"
2025-10-09,2025-10-11,-3180,"Inne"
2025-10-09,2025-10-11,-1200,"Gotowe jedzenie"
2025-10-09,2025-10-12,-400,"Gotowe jedzenie"
2025-10-10,2025-10-12,-2600,"Gotowe jedzenie"
2025-10-10,2025-10-12,-1410,"Inne"
2025-10-12,2025-10-12,-577,"Pranie"
2025-10-12,2025-10-12,-461,"Pranie"
2025-10-12,2025-10-12,-231,"Pranie"
2025-10-13,2025-10-15,-3644,"Jedzenie i środki czystości"
2025-10-13,2025-10-15,-1200,"Gotowe jedzenie"
2025-10-13,2025-10-15,-10609,"Jedzenie i środki czystości"
2025-10-14,2025-10-17,-3400,"Gotowe jedzenie"
2025-10-14,2025-10-17,-400,"Gotowe jedzenie"
2025-10-15,2025-10-15,-902,"Zwrot pieniędzy"
2025-10-15,2025-10-17,-3000,"Gotowe jedzenie"
2025-10-16,2025-10-16,7000,"Zwrot pieniędzy"
2025-10-16,2025-10-18,-1200,"Gotowe jedzenie"
2025-10-17,2025-10-17,-170,"Komunikacja miejska"
2025-10-17,2025-10-19,-23997,"Odzież i obuwie"
2025-10-17,2025-10-19,-1780,"Gotowe jedzenie"
2025-10-17,2025-10-22,-400,"Gotowe jedzenie"
2025-10-18,2025-10-20,-2113,"Jedzenie i środki czystości"
2025-10-18,2025-10-20,-9891,"Jedzenie i środki czystości"
2025-10-19,2025-10-19,-577,"Pranie"
2025-10-19,2025-10-19,-577,"Pranie"
2025-10-19,2025-10-19,-461,"Pranie"
2025-10-20,2025-10-20,-23500,"Inne"
2025-10-20,2025-10-20,-100000,"Inne"
2025-10-20,2025-10-22,-2400,"Gotowe jedzenie"
2025-10-21,2025-10-21,-3816,"Zwrot pieniędzy"
2025-10-21,2025-10-23,-1540,"Inne"
2025-10-22,2025-10-24,-1800,"Gotowe jedzenie"
2025-10-23,2025-10-23,7000,"Zwrot pieniędzy"
2025-10-23,2025-10-23,-1428,"Pociągi"
2025-10-23,2025-10-25,-1949,"Jedzenie i środki czystości"
2025-10-23,2025-10-25,-1200,"Gotowe jedzenie"
2025-10-23,2025-10-25,-2300,"Gotowe jedzenie"
2025-10-23,2025-10-25,-3468,"Jedzenie i środki czystości"
2025-10-24,2025-10-24,-170,"Komunikacja miejska"
2025-10-24,2025-10-24,-220,"Komunikacja miejska"
2025-10-24,2025-10-24,7000,"Zwrot pieniędzy"
2025-10-24,2025-10-26,-9350,"Inne"
2025-10-24,2025-10-26,-8298,"Inne"
2025-10-24,2025-10-26,-3120,"Gotowe jedzenie"
2025-10-24,2025-10-26,-400,"Gotowe jedzenie"
2025-10-25,2025-10-25,-170,"Komunikacja miejska"
2025-10-26,2025-10-26,-170,"Komunikacja miejska"
2025-10-27,2025-10-29,-4215,"Jedzenie i środki czystości"
2025-10-27,2025-10-29,-1200,"Gotowe jedzenie"
2025-10-27,2025-10-29,-9044,"Jedzenie i środki czystości"
2025-10-28,2025-10-30,-2800,"Gotowe jedzenie"
2025-10-29,2025-10-29,-100000,"Inne"
2025-10-29,2025-10-31,-2400,"Gotowe jedzenie"
2025-10-29,2025-10-31,-700,"Gotowe jedzenie"
2025-10-30,2025-10-30,-170,"Komunikacja miejska"
2025-10-30,2025-10-30,2000,"Zwrot pieniędzy"
2025-10-30,2025-11-01,-1200,"Gotowe jedzenie"
2025-10-31,2025-11-02,-2600,"Gotowe jedzenie"
2025-11-01,2025-11-01,-1688,"Pociągi"
2025-11-01,2025-11-01,-1688,"Pociągi"
2025-11-01,2025-11-01,-577,"Pranie"
2025-11-01,2025-11-01,-461,"Pranie"
2025-11-02,2025-11-02,7000,"Zwrot pieniędzy"
2025-11-02,2025-11-04,-3010,"Gotowe jedzenie"
2025-11-03,2025-11-05,-5767,"Jedzenie i środki czystości"
2025-11-03,2025-11-05,-2240,"Inne"
2025-11-03,2025-11-05,-2300,"Gotowe jedzenie"
2025-11-03,2025-11-05,-5145,"Jedzenie i środki czystości"
2025-11-04,2025-11-06,-2400,"Gotowe jedzenie"
2025-11-05,2025-11-07,-1200,"Gotowe jedzenie"
2025-11-06,2025-11-06,14000,"Zwrot pieniędzy"
2025-11-06,2025-11-08,-2700,"Gotowe jedzenie"
2025-11-07,2025-11-07,-220,"Komunikacja miejska"
2025-11-07,2025-11-09,-220,"Komunikacja miejska"
2025-11-07,2025-11-09,-3000,"Gotowe jedzenie"
2025-11-08,2025-11-08,-170,"Komunikacja miejska"
2025-11-10,2025-11-10,7000,"Zwrot pieniędzy"
2025-11-11,2025-11-11,-170,"Komunikacja miejska"
2025-11-11,2025-11-11,7000,"Zwrot pieniędzy"
2025-11-12,2025-11-14,-2800,"Gotowe jedzenie"
2025-11-13,2025-11-15,-4732,"Jedzenie i środki czystości"
2025-11-13,2025-11-15,-2900,"Gotowe jedzenie"
2025-11-13,2025-11-15,-5831,"Jedzenie i środki czystości"
2025-11-14,2025-11-16,-1960,"Gotowe jedzenie"
2025-11-15,2025-11-15,-7000,"Zwrot pieniędzy"
2025-11-15,2025-11-17,-2579,"Jedzenie i środki czystości"
2025-11-15,2025-11-17,-4203,"Jedzenie i środki czystości"
2025-11-16,2025-11-16,-170,"Komunikacja miejska"
2025-11-16,2025-11-16,-170,"Komunikacja miejska"
2025-11-16,2025-11-16,-577,"Pranie"
2025-11-16,2025-11-16,-461,"Pranie"
2025-11-17,2025-11-19,-2400,"Gotowe jedzenie"
2025-11-18,2025-11-20,-2800,"Gotowe jedzenie"
2025-11-19,2025-11-19,1500,"Zwrot pieniędzy"
2025-11-19,2025-11-21,-1500,"Gotowe jedzenie"
2025-11-19,2025-11-21,-2400,"Gotowe jedzenie"
2025-11-20,2025-11-22,-2400,"Gotowe jedzenie"
2025-11-21,2025-11-21,-1558,"Pociągi"
2025-11-21,2025-11-21,-2597,"Pociągi"
2025-11-21,2025-11-21,-170,"Komunikacja miejska"
2025-11-21,2025-11-21,-170,"Komunikacja miejska"
2025-11-21,2025-11-23,-1730,"Gotowe jedzenie"
2025-11-22,2025-11-22,-170,"Komunikacja miejska"
2025-11-23,2025-11-23,-170,"Komunikacja miejska"
2025-11-23,2025-11-23,-577,"Pranie"
2025-11-23,2025-11-23,-461,"Pranie"
2025-11-24,2025-11-26,-2678,"Jedzenie i środki czystości"
2025-11-24,2025-11-26,-2400,"Gotowe jedzenie"
2025-11-24,2025-11-26,-7815,"Jedzenie i środki czystości"
2025-11-25,2025-11-27,-2664,"Inne"
2025-11-25,2025-11-27,-2400,"Gotowe jedzenie"
2025-11-26,2025-11-26,-170,"Komunikacja miejska"
2025-11-26,2025-11-26,-170,"Komunikacja miejska"
2025-11-26,2025-11-28,-2086,"Inne"
2025-11-26,2025-11-28,-2400,"Gotowe jedzenie"
2025-11-27,2025-11-27,300000,"Politechnika"
2025-11-27,2025-11-29,-999,"Jedzenie i środki czystości"
2025-11-27,2025-11-29,-1800,"Gotowe jedzenie"
2025-11-28,2025-11-28,-1558,"Pociągi"
2025-11-28,2025-11-30,-2855,"Gotowe jedzenie"
2025-11-29,2025-11-29,-170,"Komunikacja miejska"
2025-11-29,2025-11-29,-2597,"Pociągi"
2025-11-30,2025-11-30,-170,"Komunikacja miejska"
2025-11-30,2025-11-30,-577,"Pranie"
2025-11-30,2025-11-30,-461,"Pranie"
2025-11-30,2025-11-30,5000,"Zwrot pieniędzy"
2025-12-01,2025-12-03,-1204,"Jedzenie i środki czystości"
2025-12-01,2025-12-03,-6641,"Jedzenie i środki czystości"
2025-12-01,2025-12-03,-1199,"Inne"
2025-12-02,2025-12-02,-1000,"Zwrot pieniędzy"
2025-12-02,2025-12-04,-1800,"Gotowe jedzenie"
2025-12-03,2025-12-05,-2900,"Gotowe jedzenie"
2025-12-04,2025-12-06,-2400,"Gotowe jedzenie"
2025-12-06,2025-12-06,10000,"Zwrot pieniędzy"
2025-12-06,2025-12-08,-19597,"Odzież i obuwie"
2025-12-06,2025-12-08,-2250,"Jedzenie i środki czystości"
2025-12-06,2025-12-08,-8942,"Jedzenie i środki czystości"
2025-12-07,2025-12-07,-577,"Pranie"
2025-12-07,2025-12-07,-461,"Pranie"
2025-12-08,2025-12-10,-2400,"Gotowe jedzenie"
2025-12-09,2025-12-11,-1200,"Gotowe jedzenie"
2025-12-09,2025-12-11,-600,"Gotowe jedzenie"
2025-12-10,2025-12-12,-2500,"Gotowe jedzenie"
2025-12-11,2025-12-11,-6557,"Elektronika"
2025-12-11,2025-12-11,-3000,"Zwrot pieniędzy"
2025-12-12,2025-12-14,-1485,"Jedzenie i środki czystości"
2025-12-12,2025-12-14,-2800,"Gotowe jedzenie"
2025-12-13,2025-12-13,-220,"Komunikacja miejska"
2025-12-13,2025-12-13,-220,"Komunikacja miejska"
2025-12-13,2025-12-15,-2776,"Jedzenie i środki czystości"
2025-12-13,2025-12-15,-1620,"Gotowe jedzenie"
2025-12-13,2025-12-15,-8650,"Jedzenie i środki czystości"
2025-12-14,2025-12-14,-2597,"Pociągi"
2025-12-14,2025-12-14,-577,"Pranie"
2025-12-14,2025-12-14,-461,"Pranie"
2025-12-14,2025-12-16,-499,"Jedzenie i środki czystości"
2025-12-14,2025-12-16,-2635,"Gotowe jedzenie"
2025-12-15,2025-12-17,-1200,"Gotowe jedzenie"
2025-12-16,2025-12-18,-2800,"Gotowe jedzenie"
2025-12-17,2025-12-19,-2500,"Gotowe jedzenie"
2025-12-18,2025-12-20,-2700,"Gotowe jedzenie"
2025-12-19,2025-12-19,150000,"Politechnika"
2025-12-19,2025-12-19,190500,"Politechnika"
2025-12-19,2025-12-21,-2700,"Gotowe jedzenie"
2025-12-20,2025-12-22,-2845,"Gotowe jedzenie"
2025-12-21,2025-12-23,-1700,"Inne"
2025-12-21,2025-12-23,-2990,"Gotowe jedzenie"
2025-12-22,2025-12-24,-1800,"Gotowe jedzenie"
2025-12-23,2025-12-23,-170,"Komunikacja miejska"
2025-12-23,2025-12-23,-835,"Zwrot pieniędzy"
2025-12-23,2025-12-25,-1210,"Inne"
2025-12-29,2025-12-29,-1818,"Pociągi"
2025-12-29,2025-12-31,-9000,"Inne"
2025-12-31,2025-12-31,-170,"Komunikacja miejska"
2025-12-31,2025-12-31,-350,"Inne"
