timestamp,duration,data.app
2026-01-26T11:34:23.509000+00:00,9.19,explorer
2026-01-26T11:34:19.390000+00:00,3.086,explorer
2026-01-26T11:34:16.314000+00:00,2.064,Messenger
2026-01-26T11:33:53.799000+00:00,21.475,Messenger
2026-01-26T11:33:35.355000+00:00,16.366,explorer
2026-01-26T11:33:26.123000+00:00,7.161,explorer
2026-01-26T11:33:24.053000+00:00,1.034,explorer
2026-01-26T11:33:17.888000+00:00,4.106,Messenger
2026-01-26T11:33:12.709000+00:00,4.157,Code
2026-01-26T11:33:07.590000+00:00,4.103,Messenger
2026-01-26T11:32:51.192000+00:00,15.376,Messenger
2026-01-26T11:32:48.118000+00:00,1.025,aw-qt
2026-01-26T11:32:42.966000+00:00,4.118,explorer
2026-01-26T11:32:21.350000+00:00,20.583,explorer
2026-01-26T11:32:19.290000+00:00,1.045,explorer
2026-01-26T11:32:11.036000+00:00,7.221,explorer
2026-01-26T11:31:26.772000+00:00,42.195,PhoneExperienceHost
2026-01-26T11:30:38.675000+00:00,47.067,explorer
2026-01-26T11:30:03.766000+00:00,33.887,explorer
2026-01-26T11:29:44.376000+00:00,18.386,explorer
2026-01-26T11:29:38.262000+00:00,5.095,explorer
2026-01-26T11:28:37.788000+00:00,59.448,Chrome
2026-01-26T11:28:35.740000+00:00,1.029,Chrome
2026-01-26T11:28:33.685000+00:00,1.027,Chrome
2026-01-26T11:28:28.580000+00:00,4.085,Chrome
2026-01-26T11:27:53.637000+00:00,28.606,PhoneExperienceHost
2026-01-26T11:27:48.512000+00:00,2.045,SearchHost
2026-01-26T11:27:17.797000+00:00,29.682,Chrome
2026-01-26T11:26:28.707000+00:00,48.056,Chrome
2026-01-26T11:26:17.479000+00:00,9.187,Chrome
2026-01-26T11:26:01.099000+00:00,15.355,Chrome
2026-01-26T11:25:59.031000+00:00,1.038,Chrome
2026-01-26T11:25:55.971000+00:00,2.046,Chrome
2026-01-26T11:24:59.669000+00:00,55.287,Chrome
2026-01-26T11:23:20.112000+00:00,98.534,Chrome
2026-01-26T11:23:16.003000+00:00,3.077,Chrome
2026-01-26T11:22:56.500000+00:00,17.45,Chrome
2026-01-26T11:22:43.119000+00:00,12.361,Chrome
2026-01-26T11:22:41.042000+00:00,1.046,explorer
2026-01-26T11:22:28.708000+00:00,8.224,explorer
2026-01-26T11:22:13.272000+00:00,14.343,Chrome
2026-01-26T11:22:11.210000+00:00,1.029,explorer
2026-01-26T11:22:07.087000+00:00,1.021,explorer
2026-01-26T11:22:02.940000+00:00,2.07,explorer
2026-01-26T11:21:59.834000+00:00,2.087,explorer
2026-01-26T11:21:55.711000+00:00,3.1,explorer
2026-01-26T11:21:47.541000+00:00,6.117,Chrome
2026-01-26T11:21:24.017000+00:00,22.501,Chrome
2026-01-26T11:21:20.926000+00:00,2.075,rstudio
2026-01-26T11:21:17.859000+00:00,2.043,Chrome
2026-01-26T11:21:15.821000+00:00,1.021,Chrome
2026-01-26T11:20:54.259000+00:00,20.514,rstudio
2026-01-26T11:20:45.008000+00:00,8.223,Chrome
2026-01-26T11:20:09.096000+00:00,34.894,Chrome
2026-01-26T11:20:02.969000+00:00,5.11,Chrome
2026-01-26T11:19:56.836000+00:00,5.113,Chrome
2026-01-26T11:19:50.688000+00:00,5.132,Chrome
2026-01-26T11:19:46.591000+00:00,3.066,Chrome
2026-01-26T11:19:27.136000+00:00,18.432,Chrome
2026-01-26T11:19:09.788000+00:00,16.331,Chrome
2026-01-26T11:17:11.436000+00:00,117.333,Discord
2026-01-26T11:17:07.362000+00:00,3.058,Discord
2026-01-26T11:17:04.287000+00:00,1.029,Chrome
2026-01-26T11:16:59.160000+00:00,3.073,Chrome
2026-01-26T11:16:54.013000+00:00,4.107,Chrome
2026-01-26T11:16:51.942000+00:00,1.045,Chrome
2026-01-26T11:16:19.151000+00:00,31.779,rstudio
2026-01-26T11:15:42.305000+00:00,35.805,Chrome
2026-01-26T11:14:56.308000+00:00,44.981,Discord
2026-01-26T11:14:51.200000+00:00,4.097,Chrome
2026-01-26T11:14:48.116000+00:00,2.054,Chrome
2026-01-26T11:14:46.059000+00:00,1.031,rstudio
2026-01-26T11:14:42.978000+00:00,2.058,Discord
2026-01-26T11:14:04.048000+00:00,36.858,Chrome
2026-01-26T11:13:56.891000+00:00,6.138,Chrome
2026-01-26T11:13:53.787000+00:00,1.039,Chrome
2026-01-26T11:13:25.104000+00:00,27.651,Discord
2026-01-26T11:13:22.011000+00:00,2.07,Discord
2026-01-26T11:13:17.841000+00:00,2.062,Chrome
2026-01-26T11:13:14.714000+00:00,1.06,Chrome
2026-01-26T11:13:12.671000+00:00,1.026,Chrome
2026-01-26T11:13:09.544000+00:00,1.032,Chrome
2026-01-26T11:12:58.206000+00:00,8.22,rstudio
2026-01-26T11:12:56.175000+00:00,1.02,rstudio
2026-01-26T11:12:50.048000+00:00,5.103,rstudio
2026-01-26T11:12:47.983000+00:00,1.035,explorer
2026-01-26T11:12:43.900000+00:00,3.066,SearchHost
2026-01-26T11:12:39.805000+00:00,3.06,Chrome
2026-01-26T11:12:34.624000+00:00,4.163,Chrome
2026-01-26T11:12:19.115000+00:00,13.292,Discord
2026-01-26T11:12:17.053000+00:00,1.035,Discord
2026-01-26T11:12:13.989000+00:00,2.041,Discord
2026-01-26T11:11:15.918000+00:00,57.052,explorer
2026-01-26T11:09:20.881000+00:00,114.024,OneDrive
2026-01-25T23:38:29.357000+00:00,1.02,rstudio
2026-01-25T23:38:25.011000+00:00,3.323,rstudio
2026-01-25T23:38:18.826000+00:00,1.034,Messenger
2026-01-25T23:38:16.779000+00:00,1.032,PhoneExperienceHost
2026-01-25T23:38:12.647000+00:00,2.042,Chrome
2026-01-25T22:53:38.997000+00:00,601.491,Chrome
2026-01-25T22:53:34.896000+00:00,2.045,Spotify
2026-01-25T22:39:21.514000+00:00,852.355,Chrome
