timestamp,duration,data.app
2026-01-25T15:02:36.721Z,0.154,Kalendarz
2026-01-25T15:02:36.721Z,0.154,Kalendarz
2026-01-25T14:56:13.583Z,186.11,Messenger
2026-01-25T14:33:09.406Z,38.857,Messenger
2026-01-25T14:33:09.037Z,0.338,Messenger
2026-01-25T14:33:05.007Z,4.021,POCO Launcher
2026-01-25T14:14:00.152Z,4.702,Spotify
2026-01-25T14:01:28.392Z,13.501,Spotify
2026-01-25T14:01:19.401Z,8.985,Spotify
2026-01-25T14:01:16.911Z,0.235,Messenger
2026-01-25T14:01:16.308Z,0.6,Google
2026-01-25T13:30:53.847Z,10.052,Messenger
2026-01-25T13:30:50.690Z,3.125,POCO Launcher
2026-01-25T13:27:27.165Z,10.638,Spotify
2026-01-25T13:27:23.056Z,4.082,Spotify
2026-01-25T13:27:22.748Z,0.3,Spotify
2026-01-25T13:27:22.608Z,0.139,Spotify
2026-01-25T13:27:20.665Z,1.941,POCO Launcher
2026-01-25T13:22:12.689Z,3.915,Usługi Google Play
2026-01-25T13:22:08.032Z,4.633,UI systemu
2026-01-25T13:22:04.672Z,3.334,POCO Launcher
2026-01-25T13:21:18.009Z,0.607,POCO Launcher
2026-01-25T13:13:04.195Z,482.948,Telefon
2026-01-25T13:13:04Z,0.172,Kontakty
2026-01-25T13:13:04Z,0.172,Kontakty
2026-01-25T13:13:02.373Z,1.565,Kontakty
2026-01-25T13:11:46.736Z,53.779,Telefon
2026-01-25T13:07:40.108Z,3.713,Spotify
2026-01-25T13:07:00.688Z,3.174,Spotify
2026-01-25T12:58:21.985Z,69.884,Spotify
2026-01-25T12:58:21.864Z,0.115,Spotify
2026-01-25T12:58:21.864Z,0.115,Spotify
2026-01-25T12:48:43.885Z,0.466,Messenger
2026-01-25T12:44:58.764Z,225.113,Telefon
2026-01-25T12:42:55.159Z,3.049,Messenger
2026-01-25T12:25:40.470Z,3.787,Facebook
2026-01-25T12:25:26.882Z,13.572,Facebook
2026-01-25T12:25:22.625Z,4.237,POCO Launcher
2026-01-25T12:25:21.194Z,1.42,Kontakty
2026-01-25T12:24:52.164Z,29.02,Telefon
2026-01-25T12:24:51.923Z,0.221,Kontakty
2026-01-25T12:24:51.825Z,0.091,Telefon
2026-01-25T12:24:50.082Z,1.73,Kontakty
2026-01-25T12:19:38.510Z,151.316,Messenger
2026-01-25T12:19:36.178Z,2.245,POCO Launcher
2026-01-25T12:01:52.898Z,3.373,Spotify
2026-01-25T10:27:21.595Z,17.821,Spotify
2026-01-25T10:27:19.105Z,2.475,POCO Launcher
2026-01-25T09:29:55.610Z,103.706,Chrome
2026-01-25T09:24:37.362Z,60.326,Facebook
2026-01-25T09:24:14.478Z,0.166,Kontroler uprawnień
2026-01-25T09:24:13.257Z,1.215,Pracuj.pl
2026-01-25T09:24:07.152Z,2.919,POCO Launcher
2026-01-25T09:13:08.070Z,0.14,Kontroler uprawnień
2026-01-25T09:13:07.669Z,0.384,Rossmann
2026-01-25T09:13:06.093Z,1.551,Rossmann
2026-01-25T09:12:58.131Z,7.942,Rossmann
2026-01-25T09:12:57.895Z,0.225,Kontroler uprawnień
2026-01-25T09:12:57.310Z,0.572,Rossmann
2026-01-25T09:12:53.285Z,4.017,Rossmann
2026-01-25T09:10:29.155Z,0.347,Kontroler uprawnień
2026-01-25T09:10:28.294Z,0.855,Reserved
2026-01-25T09:10:27.888Z,0.401,Reserved
2026-01-25T08:32:29.135Z,197.637,Chrome
2026-01-25T08:32:29.135Z,197.637,Chrome
2026-01-25T08:32:27.092Z,0.996,POCO Launcher
2026-01-25T08:32:16.574Z,0.974,Spotify
2026-01-25T08:32:07.548Z,2.928,POCO Launcher
2026-01-25T08:21:21.896Z,12.603,Spotify
2026-01-25T08:21:21.826Z,0.067,Spotify
2026-01-25T08:21:19.463Z,2.362,POCO Launcher
2026-01-25T07:45:04.550Z,0.142,Zegar
2026-01-25T07:45:01.594Z,2.95,Zegar
2026-01-25T07:40:04.287Z,0.096,Zegar
2026-01-25T07:40:01.515Z,2.762,Zegar
2026-01-25T07:30:05.117Z,0.158,Zegar
2026-01-25T07:30:01.700Z,3.411,Zegar
2026-01-24T23:13:13.449Z,11.654,Zegar
2026-01-24T22:55:32.273Z,7.432,Spotify
2026-01-24T22:55:32.230Z,0.033,Spotify
2026-01-24T22:49:37.928Z,0.12,Chrome
2026-01-24T22:49:19.585Z,18.29,Chrome
2026-01-24T22:49:19.585Z,18.29,Chrome
2026-01-24T22:49:14.548Z,1.433,Spotify
2026-01-24T22:49:14.366Z,0.162,Spotify
2026-01-24T22:49:14.330Z,0.029,Spotify
2026-01-24T22:49:03.515Z,0.144,Spotify
2026-01-24T22:36:40.684Z,15.186,Duolingo
2026-01-24T22:36:30.737Z,9.942,Duolingo
2026-01-24T22:34:24.806Z,125.904,Duolingo
2026-01-24T22:34:06.954Z,17.842,Duolingo
2026-01-24T22:31:39.425Z,147.493,Duolingo
2026-01-24T22:31:31.886Z,7.521,Duolingo
2026-01-24T22:31:14.520Z,5.978,POCO Launcher
2026-01-24T21:57:30.669Z,0.838,Vinted
2026-01-24T21:51:22.031Z,6.831,Vinted
2026-01-24T21:51:17.661Z,4.27,POCO Launcher
2026-01-24T21:49:31.110Z,8.169,Spotify
2026-01-24T21:49:22.365Z,8.74,Spotify
2026-01-24T21:49:22.270Z,0.093,Spotify
2026-01-24T21:48:13.847Z,4.565,Messenger
2026-01-24T21:46:08.443Z,4.227,Messenger
2026-01-24T21:46:03.456Z,1.138,Spotify
2026-01-24T21:46:01.517Z,1.932,Codzienne tapety
2026-01-24T21:41:02.781Z,7.255,Spotify
2026-01-24T21:41:01.530Z,1.243,Spotify
2026-01-24T21:38:41.197Z,30.026,Spotify
2026-01-24T21:30:37.714Z,180.548,Facebook
2026-01-24T21:30:18.433Z,3.811,POCO Launcher
2026-01-24T21:21:13.584Z,8.198,POCO Launcher
2026-01-24T21:12:29.490Z,0.293,Kontroler uprawnień
2026-01-24T21:12:28.874Z,0.607,Reserved
2026-01-24T21:12:28.494Z,0.374,Reserved
2026-01-24T21:07:56.837Z,5.343,Messenger
2026-01-24T21:03:40.995Z,61.499,Spotify
2026-01-24T20:49:49.048Z,60.472,Spotify
2026-01-24T20:34:57.868Z,128.518,Spotify
2026-01-24T20:34:57.630Z,0.22,Spotify
2026-01-24T20:34:45.756Z,11.866,POCO Launcher
2026-01-24T20:32:22.178Z,4.55,POCO Launcher
2026-01-24T20:21:25.598Z,3.429,WhatsApp
2026-01-24T20:13:27.534Z,3.672,WhatsApp
2026-01-24T20:12:38.188Z,49.338,WhatsApp
2026-01-24T20:12:37.066Z,1.118,WhatsApp
2026-01-24T20:12:34.964Z,2.094,WhatsApp
2026-01-24T20:12:34.572Z,0.388,WhatsApp
2026-01-24T20:09:20.671Z,81.764,Pinterest
2026-01-24T20:09:20.113Z,0.544,Pinterest
2026-01-24T20:09:15.389Z,4.647,POCO Launcher
2026-01-24T20:05:33.945Z,6.792,POCO Launcher
2026-01-24T19:57:03.153Z,1.799,POCO Launcher
2026-01-24T19:36:28.986Z,0.622,Pinterest
2026-01-24T19:36:26.218Z,2.672,POCO Launcher
2026-01-24T19:28:29.681Z,2.962,Messenger
2026-01-24T19:26:54.078Z,29.925,Messenger
2026-01-24T19:11:10.703Z,4.111,Messenger
2026-01-24T19:11:09.554Z,1.148,POCO Launcher
2026-01-24T19:10:04.048Z,5.486,Messenger
2026-01-24T19:09:57.265Z,6.771,Messenger
2026-01-24T19:09:56.107Z,1.128,POCO Launcher
2026-01-24T18:49:07.583Z,1.83,POCO Launcher
2026-01-24T18:19:38.738Z,3.013,POCO Launcher
2026-01-24T18:08:00.954Z,1.394,POCO Launcher
2026-01-24T17:51:16.169Z,0.072,POCO Launcher
2026-01-24T17:50:45.791Z,30.308,Telefon
2026-01-24T17:46:53.646Z,20.365,Messenger
2026-01-24T17:46:51.946Z,1.68,POCO Launcher
2026-01-24T17:46:44.270Z,0.411,POCO Launcher
2026-01-24T17:46:43.643Z,0.624,Ekran zawsze włączony i edytor Ekranu blokady
2026-01-24T17:42:11.253Z,5.839,POCO Launcher
2026-01-24T17:35:40.558Z,31.76,Messenger
2026-01-24T17:35:15.529Z,1.121,POCO Launcher
2026-01-24T17:32:44.483Z,3.015,POCO Launcher
2026-01-24T17:31:52.004Z,52.457,Messenger
2026-01-24T17:28:47.370Z,4.931,POCO Launcher
2026-01-24T17:27:53.756Z,0.282,POCO Launcher
2026-01-24T17:27:28.752Z,25.0,Telefon
2026-01-24T14:19:15.459Z,0.274,POCO Launcher
2026-01-24T14:19:14.513Z,0.921,Ekran zawsze włączony i edytor Ekranu blokady
2026-01-24T14:18:52.940Z,10.219,Biedronka
2026-01-24T14:18:52.834Z,0.102,Kontroler uprawnień
2026-01-24T14:17:48.257Z,64.564,Biedronka
2026-01-24T14:17:48.085Z,0.148,Kontroler uprawnień
2026-01-24T14:17:36.390Z,11.679,Biedronka
2026-01-24T14:17:36.097Z,0.286,Kontroler uprawnień
2026-01-24T14:17:35.612Z,0.47,Biedronka
2026-01-24T14:13:32.118Z,8.919,Messenger
2026-01-24T14:13:31.878Z,0.213,Messenger
2026-01-24T14:12:26.803Z,15.046,Messenger
2026-01-24T14:12:24.111Z,2.552,POCO Launcher
2026-01-24T13:57:31.557Z,0.807,POCO Launcher
2026-01-24T13:50:33.992Z,1.466,POCO Launcher
2026-01-24T13:50:24.595Z,0.274,Kontroler uprawnień
2026-01-24T13:50:23.872Z,0.714,Reserved
2026-01-24T13:50:23.334Z,0.532,Reserved
2026-01-24T13:50:13.928Z,1.917,InPost Mobile
2026-01-24T13:49:41.787Z,0.092,Messenger
2026-01-24T13:49:36.279Z,5.499,Facebook
2026-01-24T13:49:33.040Z,1.834,POCO Launcher
2026-01-24T13:49:28.200Z,2.289,POCO Launcher
2026-01-24T13:48:13.923Z,3.09,Messenger
2026-01-24T13:47:34.839Z,32.94,Messenger
2026-01-24T13:47:19.565Z,3.676,Messenger
2026-01-24T13:46:44.135Z,25.769,Messenger
2026-01-24T13:46:05.451Z,28.341,Messenger
2026-01-24T13:45:04.660Z,59.052,Messenger
2026-01-24T13:45:04.523Z,0.128,Messenger
2026-01-24T13:44:42.090Z,22.399,Facebook
2026-01-24T13:09:23.471Z,21.604,Messenger
2026-01-24T13:09:21.423Z,2.0,POCO Launcher
2026-01-24T13:06:52.844Z,4.327,POCO Launcher
2026-01-24T13:05:12.638Z,21.673,Jakdojade
2026-01-24T13:05:04.148Z,8.473,Jakdojade
2026-01-24T13:04:53.090Z,11.049,Jakdojade
2026-01-24T13:04:52.250Z,0.83,Jakdojade
2026-01-24T13:04:50.090Z,2.155,Jakdojade
2026-01-24T13:04:49.080Z,1.003,Jakdojade
2026-01-24T13:04:45.735Z,3.335,Jakdojade
2026-01-24T13:04:30.980Z,14.733,Jakdojade
2026-01-24T13:04:30.980Z,14.733,Jakdojade
2026-01-24T13:03:13.283Z,43.373,POCO Launcher
2026-01-24T12:51:57.695Z,4.481,POCO Launcher
2026-01-24T12:51:24.289Z,4.921,POCO Launcher
2026-01-24T12:49:18.794Z,0.527,POCO Launcher
